participant_id,condition,model_name,coder_id,criticality_score,specificity_score,riskiness_score,feedback_honesty_index,coding_notes,timestamp_coded
00d77130-af86-47d1-a8ab-a7e85f97a8ec,warm,Claude Haiku,llm_coder,3,4,2,3.0,"Criticality: Moderate critique of workflow and communication practices, but softened as fixable process issues.; Specificity: Multiple concrete examples like duplicated work, contradictory instructions, staying late.; Riskiness: Explicitly frames as process not people problem, avoids challenging management directly.",2026-08-01T08:47:30.917233+00:00
022d21b6-a60a-4731-b3a3-db58e76b4f44,competent,Claude Sonnet,llm_coder,3,5,2,3.33,"Criticality: Identifies real coordination problems but frames them as fixable inefficiencies, not fundamental failures.; Specificity: Cites specific incidents like the duplicated report with hours lost and frequency counts.; Riskiness: Critiques processes gently, avoids blaming individuals or challenging authority directly.",2026-08-01T08:47:34.665709+00:00
04593c06-a9d4-4ba9-9da2-ca88b17daa6a,competent,Claude Sonnet,llm_coder,3,5,2,3.33,"Criticality: Identifies real systemic problems but frames them softly as growth-related rather than failures.; Specificity: Cites detailed concrete incidents like duplicated report and conflicting instructions with clear impact.; Riskiness: Deliberately avoids blaming anyone, attributes issues to structure not authority.",2026-08-01T08:47:38.074472+00:00
06eb31a6-dd8b-414f-aaf2-3cbfe9a3b959,competent,GPT-4o Mini,llm_coder,3,2,2,2.33,Criticality: Moderate critique of process issues but framed diplomatically without severe intensity.; Specificity: Describes patterns generally but provides no concrete examples or specific incidents.; Riskiness: Suggests process improvements without directly challenging management or authority.,2026-08-01T08:47:49.069358+00:00
08df923c-f6ad-4a67-b140-31191e76ecbf,warm,Claude Sonnet,llm_coder,4,5,3,4.0,"Criticality: Pointed critique of duplicated work, conflicting authority, and reactive planning failures.; Specificity: Detailed concrete incidents like the Thursday client report with clear impact described.; Riskiness: Challenges decision-making structure but frames constructively without directly confronting authority figures.",2026-08-01T08:47:55.633752+00:00
0c599023-a74f-41e7-b424-954e968c425e,competent,Claude Haiku,llm_coder,4,4,3,3.67,"Criticality: Points to systemic failures in process, ownership, and communication affecting whole team.; Specificity: Multiple concrete examples like duplicate tasks and scattered channels, though somewhat hypothetical.; Riskiness: Challenges management planning but frames diplomatically and hedges as above pay grade.",2026-08-01T08:47:58.897791+00:00
0c719c90-45cb-48da-9c6d-bccbd709c356,competent,GPT-4o Mini,llm_coder,3,3,2,2.67,Criticality: Identifies real communication and structural problems but frames diplomatically without intense critique.; Specificity: Mentions duplicated efforts and conflicting instructions but examples remain abstract without concrete incidents.; Riskiness: Suggests process improvements without challenging authority or naming specific individuals or management.,2026-08-01T08:48:02.083088+00:00
0d6ba3f9-eaca-4b89-9fed-959cc1763577,warm,Claude Haiku,llm_coder,4,4,3,3.67,"Criticality: Points to systemic failures in workflow, communication, and trust, warning of burnout.; Specificity: Cites concrete incidents like paused projects and conflicting instructions with clear impact.; Riskiness: Challenges how leadership assigns work but softens with junior hedging and pilot suggestions.",2026-08-01T08:48:05.296281+00:00
0e47c601-e629-4d23-b71d-95ef5370f06e,warm,Claude Haiku,llm_coder,4,5,3,4.0,"Criticality: Points out systemic failures in process, communication, and accountability with substantive weight.; Specificity: Multiple concrete incidents like the two-day report and contradictory instructions with clear impact.; Riskiness: Challenges practices but softens tone, defers to authority, and hesitates to push back.",2026-08-01T08:48:08.644727+00:00
1051d0fe-62d7-41e1-96b6-e6a942f48dc3,warm,Claude Sonnet,llm_coder,3,5,2,3.33,Criticality: Identifies real systemic problems but frames them as no one's fault individually.; Specificity: Multiple concrete examples like duplicated data summary and conflicting report templates with context.; Riskiness: Critiques processes but softens blame and avoids challenging specific authority figures.,2026-08-01T08:48:11.715721+00:00
12e2e5b0-889b-4a61-8cb5-615442a83e60,warm,GPT-4o Mini,llm_coder,3,3,2,2.67,"Criticality: Moderate critique of communication and process failures without intense challenge.; Specificity: One duplication example given, but reasoning stays largely abstract and general.; Riskiness: Mild process critique, softly notes accountability gaps without directly challenging authority.",2026-08-01T08:48:15.090104+00:00
175de2ee-3552-47f3-99da-1d64c6f09d71,warm,Claude Sonnet,llm_coder,3,5,3,3.67,"Criticality: Identifies real systemic problems but frames them diplomatically, not as fundamental failures.; Specificity: Detailed concrete examples like the Wednesday report duplication with clear impact described.; Riskiness: Challenges task-assignment and decision-making practices but avoids directly confronting senior authority.",2026-08-01T08:48:18.214119+00:00
1893330e-8225-4f78-a343-9e264acc4a70,warm,Claude Sonnet,llm_coder,3,5,3,3.67,Criticality: Identifies real systemic problems but frames them diplomatically without harsh critique.; Specificity: Detailed concrete examples like the 4pm duplicated report with clear impact.; Riskiness: Challenges unclear decision rights and ownership but avoids naming or blaming authority.,2026-08-01T08:48:21.545074+00:00
18a6c8bc-8951-41fb-83c3-682ad8625059,competent,Claude Sonnet,llm_coder,4,5,3,4.0,Criticality: Pointed critique of coordination failures and leadership's reactive planning habits.; Specificity: Multiple dated incidents with clear context and quantified impact on work.; Riskiness: Challenges leadership planning and authority ambiguity but frames non-maliciously and structurally.,2026-08-01T08:48:28.496378+00:00
