participant_id,condition,turn_index,message_id,retrieved_card_ids,retrieved_card_constructs,retrieval_scores,retrieval_method,retrieval_enabled,retrieval_top_k,corpus_version,timestamp_created
0f8919d3-b488-46eb-b177-9bf6944a3a5f,competent,1,c687f853-292b-449f-9f2c-13b09b914b7e,"manager_communication_001,role_ambiguity_001,manager_communication_003","Communication quality and clarity in supervisor-subordinate relationships; Role ambiguity, stress, and engagement; Grounding and shared understanding in communication","0.5111,0.4040,0.3913",embedding,True,3,1.0,2026-06-26T17:20:18.875618
0f8919d3-b488-46eb-b177-9bf6944a3a5f,competent,2,98f8a514-699c-4ec5-8d89-d29269352a78,"role_ambiguity_002,role_ambiguity_001,role_ambiguity_003","Job demands and resources: stress from overload and underutilization; Role ambiguity, stress, and engagement; Role clarity and personal engagement","0.7151,0.7043,0.5560",embedding,True,3,1.0,2026-06-26T17:24:14.902799
0f8919d3-b488-46eb-b177-9bf6944a3a5f,competent,3,34ea134e-2a40-463b-99e7-dbeda3c65d87,"role_ambiguity_003,manager_communication_001,role_ambiguity_001","Role clarity and personal engagement; Communication quality and clarity in supervisor-subordinate relationships; Role ambiguity, stress, and engagement","0.3768,0.3742,0.3538",embedding,True,3,1.0,2026-06-26T17:25:08.884322
0f8919d3-b488-46eb-b177-9bf6944a3a5f,competent,4,0a05c288-566e-41b7-827e-772fd3028789,"org_silence_003,fairness_recognition_001,org_silence_001","Voice behavior: patterns of who speaks, what, and when; Equity and fairness in resource allocation and recognition; Organizational silence and intentional withholding of concerns","0.2878,0.2816,0.2743",embedding,True,3,1.0,2026-06-26T17:26:17.712761
0f8919d3-b488-46eb-b177-9bf6944a3a5f,competent,5,021866d7-f39c-4fba-8cb1-88d4dbe2e173,"confidentiality_trust_002,fairness_recognition_001,org_silence_003","Uncertainty reduction in new or asymmetric relationships; Equity and fairness in resource allocation and recognition; Voice behavior: patterns of who speaks, what, and when","0.2890,0.2835,0.2787",embedding,True,3,1.0,2026-06-26T17:26:54.748713
23f6df14-81d0-4628-82bc-18a74ae057cf,warm,1,07f8c872-b168-4748-892a-0b00f9736f99,,,,clearly_off_topic,True,3,1.0,2026-06-29T15:22:35.091322
23f6df14-81d0-4628-82bc-18a74ae057cf,warm,2,ca2ac043-8fc1-436d-bf41-186e23a1038d,"role_ambiguity_002,role_ambiguity_001,role_ambiguity_003","Job demands and resources: stress from overload and underutilization; Role ambiguity, stress, and engagement; Role clarity and personal engagement","0.2420,0.2415,0.2316",embedding,True,3,1.0,2026-06-29T15:22:50.353008
23f6df14-81d0-4628-82bc-18a74ae057cf,warm,3,05e7e321-b1cc-4044-a345-24c53988f5d3,"manager_communication_001,psych_safety_002,psych_safety_004",Communication quality and clarity in supervisor-subordinate relationships; Safety in asymmetric power relationships and leader openness to voice; Ethical leadership and willingness to receive voice,"0.2751,0.2714,0.2559",embedding,True,3,1.0,2026-06-29T15:22:56.724845
25c45619-ad77-4fe3-aafa-baa0ffebdbe6,competent,1,7a9cad33-4cb8-4ae9-96a9-5db4884a088a,,,,clearly_off_topic,True,3,1.0,2026-06-29T15:36:58.289383
25c45619-ad77-4fe3-aafa-baa0ffebdbe6,competent,2,dbc82017-f5f6-450d-ada8-14fd6ebc4f82,,,,clearly_off_topic,True,3,1.0,2026-06-29T15:37:13.636311
25c45619-ad77-4fe3-aafa-baa0ffebdbe6,competent,3,35794553-9b41-4ef6-8966-e2be71788e6c,"manager_communication_003,role_ambiguity_003,fairness_recognition_001",Grounding and shared understanding in communication; Role clarity and personal engagement; Equity and fairness in resource allocation and recognition,"0.2099,0.1958,0.1933",embedding,True,3,1.0,2026-06-29T15:37:38.788802
50fc8f68-cdf3-4461-9707-9aa16c4fccca,warm,1,27b0f418-b252-45ff-b003-672bafd06e49,"org_silence_004,role_ambiguity_004,fairness_recognition_001","Trust, psychological contract breach, and withdrawal; Burnout and withdrawal of discretionary effort; Equity and fairness in resource allocation and recognition","0.3063,0.2994,0.2916",embedding,True,3,1.0,2026-06-29T15:07:12.889508
50fc8f68-cdf3-4461-9707-9aa16c4fccca,warm,2,438e9e1e-b32e-411b-b06a-c0458bb66f55,"manager_communication_001,role_ambiguity_002,role_ambiguity_001","Communication quality and clarity in supervisor-subordinate relationships; Job demands and resources: stress from overload and underutilization; Role ambiguity, stress, and engagement","0.3386,0.3374,0.3368",embedding,True,3,1.0,2026-06-29T15:07:23.604687
50fc8f68-cdf3-4461-9707-9aa16c4fccca,warm,3,891c4d89-7281-402d-afc6-9adb8e999a4f,"fairness_recognition_001,fairness_recognition_003,org_silence_004","Equity and fairness in resource allocation and recognition; Relational energy and belonging at work; Trust, psychological contract breach, and withdrawal","0.4023,0.3159,0.2858",embedding,True,3,1.0,2026-06-29T15:07:28.274185
54d67679-2b33-4a6c-ac1e-fbff2cfac61c,warm,1,78485dec-84da-4b22-abfe-f1e57428ee21,"role_ambiguity_002,role_ambiguity_003,role_ambiguity_001","Job demands and resources: stress from overload and underutilization; Role clarity and personal engagement; Role ambiguity, stress, and engagement","0.3216,0.3003,0.2989",embedding,True,3,1.0,2026-06-29T15:53:21.427900
54d67679-2b33-4a6c-ac1e-fbff2cfac61c,warm,2,b037b037-550b-4ba4-8987-93e0c95d88e3,"role_ambiguity_002,role_ambiguity_001,manager_communication_001","Job demands and resources: stress from overload and underutilization; Role ambiguity, stress, and engagement; Communication quality and clarity in supervisor-subordinate relationships","0.3637,0.3569,0.3133",embedding,True,3,1.0,2026-06-29T15:53:38.031840
54d67679-2b33-4a6c-ac1e-fbff2cfac61c,warm,3,37bef181-60c4-4038-acc1-912bfb7cdbee,"fairness_recognition_003,fairness_recognition_001,role_ambiguity_004",Relational energy and belonging at work; Equity and fairness in resource allocation and recognition; Burnout and withdrawal of discretionary effort,"0.1817,0.1731,0.1482",embedding,True,3,1.0,2026-06-29T15:53:48.364756
5e97b028-015a-4fd3-b201-682323e79ab5,warm,1,850187b5-5716-4978-a051-8fc65b414489,,,,clearly_off_topic,True,3,1.0,2026-06-29T15:28:24.939244
5e97b028-015a-4fd3-b201-682323e79ab5,warm,2,a0193d64-e9e2-4d40-81f8-de6c072cb9f0,,,,clearly_off_topic,True,3,1.0,2026-06-29T15:28:31.191595
5e97b028-015a-4fd3-b201-682323e79ab5,warm,3,2bf3961f-35e8-4cbf-b595-f176ebf8a3c4,"feedback_quality_003,confidentiality_trust_002,fairness_recognition_003",Feedback-seeking behavior and organizational learning; Uncertainty reduction in new or asymmetric relationships; Relational energy and belonging at work,"0.2024,0.1782,0.1750",embedding,True,3,1.0,2026-06-29T15:28:47.792524
62548a0a-337c-44a5-a290-73e2a5e0a9ec,competent,1,d7b64ae0-6aec-481a-86b9-0249d1c335bd,"role_ambiguity_003,manager_communication_003,role_ambiguity_001","Role clarity and personal engagement; Grounding and shared understanding in communication; Role ambiguity, stress, and engagement","0.2589,0.2138,0.2113",embedding,True,3,1.0,2026-06-26T14:10:08.106671
828c1297-e9c4-4c7b-92f7-a96261ec9c04,competent,1,3c12d637-a155-439b-9896-64b950d779d4,"fairness_recognition_003,org_silence_004,fairness_recognition_001","Relational energy and belonging at work; Trust, psychological contract breach, and withdrawal; Equity and fairness in resource allocation and recognition","0.3230,0.3044,0.2941",embedding,True,3,1.0,2026-06-26T14:21:21.100849
828c1297-e9c4-4c7b-92f7-a96261ec9c04,competent,2,fac30364-0b84-4aee-802c-f7eb2e9bd248,,,,clearly_off_topic,True,3,1.0,2026-06-26T14:21:24.147276
828c1297-e9c4-4c7b-92f7-a96261ec9c04,competent,3,97be833d-208f-46aa-b1f1-51d2523fca02,"manager_communication_003,role_ambiguity_001,role_ambiguity_002","Grounding and shared understanding in communication; Role ambiguity, stress, and engagement; Job demands and resources: stress from overload and underutilization","0.1528,0.1132,0.1024",embedding,True,3,1.0,2026-06-26T14:21:30.803795
931ebd30-4d2d-416f-b6f1-bc51e624e180,warm,1,8d38ba64-0697-4df4-b183-c6491a31d7ef,"manager_communication_001,role_ambiguity_002,org_silence_002",Communication quality and clarity in supervisor-subordinate relationships; Job demands and resources: stress from overload and underutilization; Types of organizational silence: acquiescence and defensiveness,"0.1661,0.1404,0.1352",embedding,True,3,1.0,2026-06-26T14:14:49.417572
931ebd30-4d2d-416f-b6f1-bc51e624e180,warm,2,b213cc4e-d47c-4031-9518-8b855b6e8096,"role_ambiguity_002,role_ambiguity_004,role_ambiguity_003",Job demands and resources: stress from overload and underutilization; Burnout and withdrawal of discretionary effort; Role clarity and personal engagement,"0.1844,0.1590,0.1478",embedding,True,3,1.0,2026-06-26T14:15:18.917891
931ebd30-4d2d-416f-b6f1-bc51e624e180,warm,3,ca4ef12a-501f-45e0-8e40-b6c85f5c17f2,,,,clearly_off_topic,True,3,1.0,2026-06-26T14:15:36.753752
97fa6aea-d7e5-4db9-94df-8c6c9b7ef1a9,competent,1,5b08e872-e4d1-4625-b267-d61f8b22a290,"role_ambiguity_002,conflict_001,psych_safety_002",Job demands and resources: stress from overload and underutilization; Task vs. relationship conflict and team effectiveness; Safety in asymmetric power relationships and leader openness to voice,"0.2313,0.2172,0.2143",embedding,True,3,1.0,2026-06-29T15:33:26.163063
9cebd347-3f06-4c78-a047-18917118324e,warm,1,b33d2a1d-e697-422f-9ee3-b04fdc5cda83,"fairness_recognition_001,role_ambiguity_003,manager_communication_001",Equity and fairness in resource allocation and recognition; Role clarity and personal engagement; Communication quality and clarity in supervisor-subordinate relationships,"0.2827,0.2474,0.2365",embedding,True,3,1.0,2026-06-26T14:17:00.245558
9cebd347-3f06-4c78-a047-18917118324e,warm,2,040c5fe5-e14d-4885-bac7-f668fd91be26,"role_ambiguity_002,role_ambiguity_001,conflict_002","Job demands and resources: stress from overload and underutilization; Role ambiguity, stress, and engagement; Incivility and cumulative stress in the workplace","0.4020,0.3540,0.3458",embedding,True,3,1.0,2026-06-26T14:17:27.433470
9cebd347-3f06-4c78-a047-18917118324e,warm,3,570fa7f6-0181-481a-9ed2-a77057c4db66,"conflict_002,conflict_001,fairness_recognition_003",Incivility and cumulative stress in the workplace; Task vs. relationship conflict and team effectiveness; Relational energy and belonging at work,"0.4443,0.4093,0.3843",embedding,True,3,1.0,2026-06-26T14:17:42.389602
9cebd347-3f06-4c78-a047-18917118324e,warm,4,7f74a49f-8965-4b68-86aa-e4206df25437,,,,clearly_off_topic,True,3,1.0,2026-06-26T14:17:54.587367
9cebd347-3f06-4c78-a047-18917118324e,warm,5,cad51a7e-5999-440d-9e96-4adbb1c7f96f,,,,clearly_off_topic,True,3,1.0,2026-06-26T14:18:03.329054
bbd4c004-6d9d-4722-a6f4-b1827f7d38ab,competent,1,3eb75117-b464-4a51-9e40-64b1289479bb,"org_silence_003,org_silence_001,org_silence_002","Voice behavior: patterns of who speaks, what, and when; Organizational silence and intentional withholding of concerns; Types of organizational silence: acquiescence and defensiveness","0.3351,0.3192,0.2918",embedding,True,3,1.0,2026-06-29T15:19:29.742704
bbd4c004-6d9d-4722-a6f4-b1827f7d38ab,competent,2,e6850a2a-1320-4c1e-ac27-06901f776030,"org_silence_003,org_silence_001,psych_safety_002","Voice behavior: patterns of who speaks, what, and when; Organizational silence and intentional withholding of concerns; Safety in asymmetric power relationships and leader openness to voice","0.6591,0.6344,0.6331",embedding,True,3,1.0,2026-06-29T15:19:36.138659
bbd4c004-6d9d-4722-a6f4-b1827f7d38ab,competent,3,ea494aa9-21dd-44b0-919c-778f2eedbb56,"role_ambiguity_003,manager_communication_003,fairness_recognition_002",Role clarity and personal engagement; Grounding and shared understanding in communication; Procedural justice and perceived fairness of processes,"0.1672,0.1651,0.1586",embedding,True,3,1.0,2026-06-29T15:19:48.907454
dd2a6616-a13d-461f-b432-4d89431fe7b5,warm,1,89da7788-8b60-4915-9215-947b6a8909d0,"manager_communication_001,conflict_002,psych_safety_002",Communication quality and clarity in supervisor-subordinate relationships; Incivility and cumulative stress in the workplace; Safety in asymmetric power relationships and leader openness to voice,"0.3258,0.3179,0.3142",embedding,True,3,1.0,2026-06-26T14:03:55.616265
dd2a6616-a13d-461f-b432-4d89431fe7b5,warm,2,b01a8a5c-358b-4ec9-a4df-59646197b40e,"org_silence_003,org_silence_001,psych_safety_002","Voice behavior: patterns of who speaks, what, and when; Organizational silence and intentional withholding of concerns; Safety in asymmetric power relationships and leader openness to voice","0.3969,0.3941,0.3863",embedding,True,3,1.0,2026-06-26T14:04:10.759597
